Id,Label,value,source,Authority,Hub,pageranks,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum
31,amptoons.com/blog,0,LeftyDirectory,0.054233,0.049074,0.001706,41,36,77,6,0.344741,0.381557,5103.471907,0,163
32,anarchyxero.robfindlay.org,0,Blogarama,0.000734,0.008592,0.000196,1,5,6,7,0.295097,0.314607,0.857495,0,163
33,andifeelfine.blogspot.com,0,BlogCatalog,0.001303,0.000062,0.000209,2,1,3,8,0.230436,0.247342,33.86334,0,163
34,andymatic.com,0,Blogarama,0.00424,0.000698,0.000199,2,3,5,7,0.264804,0.279497,420.139423,0,163
35,angrybear.blogspot.com,0,LabeledManually,0.071838,0.01481,0.002648,54,6,60,7,0.281553,0.305182,619.520801,0,163
36,angrydesi.typepad.com,0,eTalkingHead,0.001706,0.02392,0.000192,2,9,11,7,0.289299,0.315858,1.021886,0,163
37,angryfinger.org,0,CampaignLine,0.003944,0,0.000217,2,0,2,0,0,0,0,0,81
38,angryhomo.blogspot.com,0,Blogarama,0.001767,0.000238,0.00022,2,1,3,7,0.256362,0.272663,0,0,163
39,annatopia.com/home.html,0,LeftyDirectory,0.033141,0,0.001133,27,0,27,0,0,0,0,0,30
40,anoldsoul.blogspot.com,0,LeftyDirectory,0.030701,0.106704,0.000539,26,88,114,6,0.375294,0.434692,7102.250767,0,163
41,anonymoussources.blogspot.com,0,"Blogarama,LeftyDirectory",0.002046,0.00541,0.000298,2,6,8,6,0.300471,0.330947,43.096684,0,163
42,answerguy.blogspot.com,0,Blogarama,0.003703,0.023448,0.00023,5,10,15,7,0.305653,0.335607,25.52307,0,163
43,anybodybutbushyall.blogspot.com,0,Blogarama,0,0.006583,0.000187,0,4,4,7,0.291135,0.308893,0,0,173
44,anywhichway.net,0,Blogarama,0.000495,0,0.000195,1,0,1,0,0,0,0,0,78
45,arancaytar.blogspot.com,0,"BlogCatalog,eTalkingHead",0.004941,0.001363,0.000223,4,3,7,8,0.208315,0.218433,1025.284953,0,163
46,archpundit.com,0,BlogPulse,0.023099,0.081673,0.000872,21,53,74,6,0.332061,0.38356,2132.257634,0,163
47,arkansastonight.com,0,Blogarama,0.002404,0.003211,0.000244,2,1,3,7,0.25486,0.272792,0,0,163
48,asian-nation.org/headlines/index.php,0,BlogCatalog,0,0,0.000187,0,0,0,0,0,0,0,4,174
49,asiegeofherons.blogspot.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,5,175
50,asilentrevolution.blogspot.com,0,BlogCatalog,0,0,0.000187,0,0,0,0,0,0,0,6,176
51,askhoudari.blogspot.com,0,Blogarama,0.001692,0,0.000191,1,0,1,0,0,0,0,0,76
52,astroturf.uni.cc,0,BlogCatalog,0.001057,0,0.000194,1,0,1,0,0,0,0,0,46
53,atease.blogspot.com,0,Blogarama,0.004877,0.00457,0.000248,6,2,8,7,0.269805,0.289911,17.75828,0,163
54,atomicairship.com,0,"Blogarama,eTalkingHead",0,0,0.000187,0,0,0,0,0,0,0,7,177
55,atrios.blogspot.com,0,"BlogPulse,LeftyDirectory,CampaignLine",0.212571,0.113277,0.015183,263,87,350,6,0.368502,0.428144,90985.835827,0,163
56,"atrios.blogspot.com/ ",0,LabeledManually,0,0.11706,0.000187,0,88,88,6,0.368745,0.42874,0,0,178
57,aurelientt.blogspot.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,8,179
58,awards5.tripod.com/tarasblog,0,BlogCatalog,0,0.001994,0.000187,0,4,4,7,0.301447,0.323151,0,0,180
59,b-patton.blogspot.com,0,Blogarama,0.000495,0,0.000195,1,0,1,0,0,0,0,0,77
60,babylon.squarespace.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,9,181
61,badattitudes.com/mt,0,LeftyDirectory,0,0,0.000187,0,0,0,0,0,0,0,10,182
62,bakshi.us/redskunk,0,Blogarama,0.002068,0,0.000276,2,0,2,0,0,0,0,0,124
63,barcidhomily.com,0,CampaignLine,0,0,0.000187,0,0,0,0,0,0,0,11,183
64,barkingdingo.blogspot.com,0,"Blogarama,eTalkingHead",0.004006,0.002973,0.000232,4,3,7,8,0.23979,0.254228,6.375575,0,163
65,bartcop.com,0,CampaignLine,0.029002,0.000445,0.002181,33,1,34,7,0.245574,0.25825,1037.193448,0,163
66,battleground-wisconsin.blogspot.com,0,"Blogarama,LabeledManually",0,0.000722,0.000187,0,2,2,8,0.193966,0.203776,0,0,184
67,battlegroundstates.blogspot.com,0,Blogarama,0.001647,0,0.000198,2,0,2,0,0,0,0,0,45
68,beastsbelly.blogspot.com,0,eTalkingHead,0,0.03508,0.000187,0,23,23,7,0.310032,0.345278,0,0,185
69,bentcorner.blogspot.com,0,BlogCatalog,0,0.004863,0.000187,0,2,2,7,0.226424,0.239701,0,0,186
70,bettyblog.com,0,CampaignLine,0,0.02495,0.000187,0,18,18,7,0.29577,0.327741,0,0,187
71,bigbloosky.blogspot.com,0,BlogCatalog,0,0,0.000187,0,0,0,0,0,0,0,12,188
72,billmon.org,0,LeftyDirectory,0.095411,0.099764,0.003602,77,73,150,6,0.354051,0.408029,9853.752206,0,163
73,billsrants.blogspot.com,0,Blogarama,0.004987,0.020281,0.000228,4,12,16,7,0.308411,0.333848,27.548622,0,163
74,blackwingleftbird.blogspot.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,13,189
75,blog.dccc.org,0,LabeledManually,0.048852,0.096286,0.002061,50,74,124,6,0.364849,0.417032,11262.984877,0,163
76,blog.dennisfox.net,0,eTalkingHead,0.001899,0.000497,0.000192,1,2,3,1,1,1,1025.260417,0,131
77,blog.glinka.com,0,Blogarama,0,0.005863,0.000187,0,2,2,7,0.246653,0.266167,0,0,190
78,blog.johnkerry.com,0,"BlogPulse,CampaignLine",0.016308,0,0.001118,23,0,23,0,0,0,0,0,47
79,blog.kenlan.net,0,Blogarama,0.002104,0.008746,0.000216,3,9,12,6,0.299624,0.330059,8.574438,0,163
80,blog.mintruth.com,0,Blogarama,0,0.007013,0.000187,0,6,6,7,0.321153,0.359467,0,0,191
81,blog.veggiedude.com,0,Blogarama,0.000005,0.004694,0.000399,2,4,6,7,0.283348,0.302567,1425.081491,0,192
82,blog01.kintera.com/dnccblog,0,CampaignLine,0.002271,0.046266,0.000287,5,37,42,7,0.31295,0.35783,3603.3968,0,163
83,blog01.kintera.com/emilysblog,0,CampaignLine,0.001453,0,0.000201,1,0,1,0,0,0,0,0,83
84,bloganonymous.com,0,CampaignLine,0,0.015845,0.000187,0,7,7,7,0.283936,0.308221,0,0,193
85,blogforamerica.com,0,"BlogPulse,LabeledManually,CampaignLine",0.048354,0.02648,0.002366,57,16,73,7,0.286527,0.317704,5461.887702,0,163
86,blogforarizona.com,0,"LeftyDirectory,eTalkingHead",0.002664,0,0.000349,3,0,3,0,0,0,0,0,122
87,blogfreeordie.blogspot.com,0,Blogarama,0.003703,0.009206,0.00023,5,11,16,7,0.324297,0.348512,26.205499,0,163
88,blogitics.com,0,eTalkingHead,0.004458,0,0.000245,5,0,5,0,0,0,0,0,67
89,blogs.salon.com/0002874,0,LeftyDirectory,0.064018,0.03855,0.002204,49,26,75,6,0.348888,0.382915,5947.924712,0,163
90,blogs.salon.com/0003364,0,Blogarama,0.011317,0.066703,0.000457,8,40,48,6,0.31377,0.359335,403.498677,0,163
91,blogs.salon.com/0004024,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,14,194
92,blogslut.com,0,eTalkingHead,0.00021,0.003546,0.000205,1,3,4,7,0.292482,0.308912,16.733282,0,163
93,blosteam.blogspot.com,0,Blogarama,0,0.007687,0.000187,0,4,4,7,0.267076,0.286982,0,0,195
94,blotts.org/polilog,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,15,196
95,bluegrassroots.blogspot.com,0,Blogarama,0.003561,0.005041,0.000242,2,5,7,6,0.27635,0.296778,1.780557,0,163
96,bluelemur.com,0,LeftyDirectory,0.006855,0,0.000799,15,0,15,0,0,0,0,0,51
97,blueoregon.com,0,CampaignLine,0.007754,0.001823,0.000387,6,1,7,7,0.240151,0.257737,0.900351,0,163
98,bluestateredstate.blogspot.com,0,BlogCatalog,0.000076,0.00809,0.000197,1,4,5,7,0.262336,0.284781,5.65215,0,163
99,bodyandsoul.typepad.com,0,"LeftyDirectory,LabeledManually",0.109412,0.122683,0.002899,86,96,182,6,0.376475,0.437966,14134.936644,0,163
100,boffo.typepad.com,0,Blogarama,0.007942,0.049425,0.000295,6,31,37,6,0.322657,0.362766,431.90988,0,163
101,boloboffin.blogspot.com,0,Blogarama,0.006716,0.086661,0.000252,4,62,66,6,0.355366,0.404371,2079.611658,0,163
102,bopnews.com,0,"BlogPulse,CampaignLine",0.071226,0.006339,0.00181,62,4,66,7,0.246142,0.265836,234.046646,0,163
103,boston.com/news/blogs/dnc,0,CampaignLine,0,0.002837,0.000187,0,6,6,7,0.257458,0.284949,0,0,197
104,bowles2004.com/weblog,0,CampaignLine,0.000603,0,0.000193,1,0,1,0,0,0,0,0,132
105,boycottsbg.com,0,LabeledManually,0.00053,0,0.000253,2,0,2,0,0,0,0,0,128
106,bradcarson.com/blog,0,CampaignLine,0.000517,0,0.000196,1,0,1,0,0,0,0,0,73
107,bradfriedman.com/bradblog,0,CampaignLine,0.003134,0,0.000345,3,0,3,0,0,0,0,0,137
108,brianhull.net,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,16,198
109,brilliantatbreakfast.blogspot.com,0,Blogarama,0.015202,0.05465,0.000367,12,37,49,6,0.326398,0.37217,1513.431359,0,163
110,browncross.com/usualsuspects,0,Blogarama,0.000799,0.002598,0.000198,1,2,3,7,0.262407,0.276693,0,0,163
111,"brunon.blogspot.com ",0,LabeledManually,0,0,0.000187,0,0,0,0,0,0,0,17,199
112,bryan08.tk,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,18,200
113,btcnews.com/btcnews,0,"Blogarama,LeftyDirectory",0.002031,0.035517,0.000197,1,18,19,6,0.303617,0.339011,2.814787,0,163
114,bullmooseblog.com,0,"LabeledManually,CampaignLine",0.02597,0.007104,0.002215,29,4,33,7,0.23943,0.256021,37.016582,0,163
115,burntorangereport.com,0,"BlogPulse,CampaignLine",0.041319,0.035494,0.001302,40,29,69,6,0.34142,0.376088,7637.465508,0,163
116,bushlies.net/pages/10/index.htm,0,CampaignLine,0,0.000686,0.000187,0,1,1,1,1,1,0,0,201
117,bushmisunderestimated.blogspot.com,0,CampaignLine,0,0.033262,0.000187,0,25,25,6,0.33543,0.367396,0,0,203
118,busybusybusy.com,0,LeftyDirectory,0.066635,0.109613,0.001611,47,80,127,6,0.344121,0.40883,4998.93174,0,163
119,buzzmachine.com,0,"BlogPulse,LeftyDirectory",0.051499,0.046328,0.003071,75,37,112,6,0.345487,0.38504,9128.401261,0,163
120,cadat.nl,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,19,204
121,carpetblogger.com,0,Blogarama,0,0.015783,0.000187,0,10,10,7,0.2751,0.298726,0,0,206
122,catchingsmoke.blogspot.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,20,207
123,cbaker.org/blog,0,Blogarama,0.000903,0.011292,0.00021,2,6,8,7,0.259631,0.279803,9.487953,0,163
124,cemonitor.blogspot.com,0,Blogarama,0.001899,0.033907,0.000192,1,28,29,6,0.313052,0.35054,1041.306108,0,163
125,centerpiece.blogspot.com,0,Blogarama,0,0.015764,0.000187,0,6,6,6,0.285714,0.310612,0,0,208
126,chak.org/blog,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,21,209
127,changeforamerica.com/blog,0,CampaignLine,0.00761,0,0.000601,9,0,9,0,0,0,0,0,48
128,charleypatton.blogspot.com,0,"BlogCatalog,eTalkingHead",0.000076,0.000496,0.000197,1,1,2,1,1,1,1.7,0,91
129,charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48,0,Blogarama,0,0.00029,0.000187,0,1,1,1,1,1,0,0,210
130,chepooka.com,0,"Blogarama,eTalkingHead",0.010464,0.003943,0.000472,15,3,18,7,0.27203,0.28817,287.064885,0,163
131,chestnut_tree.blogspot.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,22,211
132,chiron.typepad.com,0,Blogarama,0,0.027922,0.000187,0,20,20,7,0.321369,0.352925,0,0,212
133,churchofcriticalthinking.com,0,Blogarama,0.002338,0,0.000297,2,0,2,0,0,0,0,0,162
134,civicactions.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,23,213
135,cjh9999.blog-city.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,24,214
136,clarified.blogspot.com,0,"LeftyDirectory,eTalkingHead",0.005588,0.002709,0.000255,6,6,12,7,0.285416,0.306683,583.212206,0,163
137,claudialong.com/blog,0,eTalkingHead,0.003668,0.052657,0.000209,2,30,32,6,0.312541,0.353622,0.555812,0,163
138,cleancutkid.com,0,Blogarama,0,0.027145,0.000365,1,14,15,6,0.289728,0.319969,958,0,215
139,cnle.net,0,BlogCatalog,0,0,0.000187,0,0,0,0,0,0,0,25,216
140,collegedems.com/blog,0,CampaignLine,0.011282,0.061041,0.000754,19,35,54,6,0.311828,0.354267,1434.916114,0,163
141,conniptions.net,0,Blogarama,0.001706,0.000686,0.000192,2,1,3,1,1,1,0.353094,0,93
142,conservativessuck.blogspot.com,0,"Blogarama,LeftyDirectory",0.002839,0.005697,0.000211,2,6,8,6,0.338521,0.363427,94.531174,0,163
143,contrapositive.blogspot.com,0,eTalkingHead,0.002934,0.00915,0.00022,2,3,5,7,0.275793,0.295935,0.60143,0,163
144,corrente.blogspot.com,0,LabeledManually,0.091891,0.119445,0.002237,72,106,178,6,0.373682,0.438924,16395.553454,0,163
145,counterspin.blogspot.com,0,"BlogPulse,LeftyDirectory",0.042907,0,0.001313,33,0,33,0,0,0,0,0,68
146,courtney5.us/drew,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,26,217
147,crankylittleblog.blogspot.com,0,Blogarama,0,0.01202,0.000187,0,6,6,7,0.274814,0.298516,0,0,218
148,crapiscommon.blogspot.com,0,"Blogarama,BlogCatalog",0,0,0.000187,0,0,0,0,0,0,0,27,219
149,criticalviewer.com,0,Blogarama,0,0.016324,0.000187,0,7,7,7,0.279219,0.304787,0,0,220
150,crookedtimber.org,0,LeftyDirectory,0.117752,0.061975,0.003798,100,47,147,6,0.35883,0.401411,17284.575012,0,163
151,crooksandliars.com,0,Blogarama,0.001235,0.040714,0.000205,1,23,24,6,0.316573,0.352038,7.421308,0,163
152,dailyblatt.blogspot.com,0,Blogarama,0,0.000963,0.000187,0,2,2,8,0.24634,0.258817,0,0,221
153,dailyblurb.blogspot.com,0,"Blogarama,BlogCatalog",0,0,0.000187,0,0,0,0,0,0,0,28,222
154,dailyhowler.com,0,LeftyDirectory,0.092519,0,0.003161,80,0,80,0,0,0,0,0,14
155,dailykos.com,0,"LeftyDirectory,LabeledManually,CampaignLine",0.227037,0.068891,0.017891,337,46,383,6,0.316887,0.363636,54982.016242,0,163
156,dailywarnews.blogspot.com,0,LabeledManually,0.024769,0.038185,0.001849,26,22,48,6,0.334382,0.365152,5441.94734,0,163
157,damntheman.net,0,CampaignLine,0.001706,0.018998,0.000192,2,9,11,7,0.290352,0.317129,2.893849,0,163
158,dashnier.blogspot.com,0,BlogCatalog,0.000666,0.000005,0.000201,1,1,2,7,0.231158,0.244782,0,0,223
159,davidsirota.com,0,LeftyDirectory,0.035872,0.011034,0.001248,27,3,30,7,0.282384,0.304817,372.74222,0,163
160,dawnofnewamerica.blogspot.com,0,BlogCatalog,0.000257,0.01565,0.00026,3,18,21,7,0.31336,0.339386,520.845753,0,163
161,deanocrats.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,29,224
162,deathpenaltyusa.blogspot.com,0,"LeftyDirectory,eTalkingHead",0.012083,0.025934,0.000346,9,18,27,6,0.305556,0.341101,1881.850588,0,163
163,debunker.net,0,Blogarama,0,0.006059,0.000187,0,4,4,7,0.257458,0.276317,0,0,225
164,decksitters.my-expressions.com,0,BlogCatalog,0,0,0.000187,0,0,0,0,0,0,0,30,226
165,dedspace.blogspot.com,0,Blogarama,0.003022,0.018276,0.000237,5,17,22,6,0.33,0.358342,257.941762,0,163
166,delraysteve.com/blog,0,Blogarama,0,0.003882,0.000187,0,1,1,7,0.22605,0.238396,0,0,227
167,demagogue.blogspot.com,0,"LeftyDirectory,eTalkingHead",0.044959,0.056985,0.001047,32,42,74,6,0.361815,0.401289,6710.277166,0,163
168,demleft.blogspot.com,0,"LeftyDirectory,LabeledManually",0.007937,0.026683,0.000279,9,24,33,6,0.306534,0.349164,1420.786147,0,163
169,democrants.blogspot.com,0,CampaignLine,0,0,0.000187,0,0,0,0,0,0,0,31,228
170,democraticunderground.com,0,"LabeledManually,CampaignLine",0.049903,0.01272,0.004045,90,5,95,7,0.275554,0.298627,5972.903639,0,163
171,democratreport.blogspot.com,0,BlogCatalog,0.000076,0,0.000197,1,0,1,0,0,0,0,0,87
172,democrats.org/blog,0,LabeledManually,0.073709,0.064267,0.002732,66,36,102,6,0.30861,0.352247,5065.120795,0,163
173,democratvoice.org,0,Blogarama,0,0.000004,0.000187,0,1,1,1,1,1,0,0,229
174,demoliberal.blogspot.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,32,230
175,dems2000.net,0,Blogarama,0,0.005458,0.000187,0,2,2,7,0.226157,0.239092,0,0,231
176,dems2004.com/blog,0,CampaignLine,0,0,0.000187,0,0,0,0,0,0,0,33,232
177,dems2004.org/blog,0,CampaignLine,0,0.046307,0.000187,0,38,38,7,0.313174,0.3585,0,0,233
178,denisdekat.com,0,Blogarama,0.000799,0.010799,0.000198,1,6,7,6,0.287647,0.310536,1.442597,0,163
179,dewar.journalspace.com,0,eTalkingHead,0.000056,0.009658,0.000406,2,9,11,7,0.284652,0.310626,1435.987123,0,163
180,digbysblog.blogspot.com,0,"BlogPulse,LeftyDirectory",0.133258,0.103417,0.005551,118,71,189,5,0.357623,0.416196,30129.546274,0,163
181,digestiblenews.blogspot.com,0,Blogarama,0.007029,0.048814,0.000297,8,43,51,6,0.324737,0.373041,1175.127357,0,163
182,digital-democrat.blogspot.com,0,Blogarama,0,0,0.000187,0,1,1,1,1,1,0,34,235
183,digitaldissent.blogspot.com,0,eTalkingHead,0,0,0.000187,0,0,0,0,0,0,0,35,236
184,digitaljay.blogspot.com,0,"LeftyDirectory,eTalkingHead",0,0.000496,0.000187,0,1,1,1,1,1,0,0,237
185,dimmykarras.blogspot.com,0,eTalkingHead,0.003915,0.00441,0.000242,3,5,8,6,0.308213,0.325688,274.241005,0,163
186,dir.salon.com/topics/joe_conason/index.html,0,LabeledManually,0.011008,0,0.001477,13,0,13,0,0,0,0,0,72
187,discourse.net,0,BlogPulse,0.042753,0.055321,0.001501,32,31,63,6,0.315217,0.353762,1067.21688,0,163
188,diypolitics.blogdrive.com,0,Blogarama,0.000642,0.010123,0.000231,1,6,7,7,0.248313,0.270528,10.955568,0,163
189,dneiwert.blogspot.com,0,"LeftyDirectory,eTalkingHead",0.119286,0.093239,0.00281,101,62,163,6,0.335672,0.391484,10423.105124,0,163
190,dogfight04.typepad.com,0,eTalkingHead,0.00147,0.019224,0.000202,1,12,13,6,0.32864,0.353814,26.55291,0,163
191,dohiyimir.typepad.com,0,LabeledManually,0.037499,0.076626,0.00082,33,67,100,6,0.360316,0.411512,8815.312861,0,163
192,dolphinsdock.com/blog,0,"Blogarama,LeftyDirectory,BlogCatalog,eTalkingHead",0.012111,0.002058,0.000269,8,2,10,7,0.23991,0.259656,8.631851,0,163
193,donkey2004.blogspot.com,0,"Blogarama,LeftyDirectory,BlogCatalog",0.002031,0.000122,0.000197,1,2,3,8,0.191937,0.200399,1023,0,163
194,donspoliticalblog.blogspot.com,0,Blogarama,0.003845,0.006113,0.000269,4,2,6,7,0.244008,0.260444,6.26309,0,163
195,doublespeakez.blogspot.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,36,238
196,doubter.blogspot.com,0,eTalkingHead,0,0,0.000187,0,0,0,0,0,0,0,37,239
197,drugwarmovie.com/drugwarmovie/weblog/blogger.html,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,38,240
198,duckdaotsu.blogspot.com,0,Blogarama,0,0.00255,0.000187,0,1,1,8,0.236252,0.24598,0,0,241
199,dygital.blogspot.com,0,BlogCatalog,0,0,0.000187,0,0,0,0,0,0,0,39,242
200,dystopia.blog-city.com,0,"Blogarama,LeftyDirectory",0.004298,0,0.000244,3,0,3,0,0,0,0,0,105
201,eastbaykerry.com,0,Blogarama,0,0.001312,0.000187,0,1,1,7,0.236019,0.252818,0,0,243
202,elayneriggs.blogspot.com,0,LeftyDirectory,0.066901,0.109374,0.001235,44,91,135,6,0.35497,0.42419,5785.006111,0,163
203,elderbearden.blogspot.com,0,Blogarama,0.000297,0.002139,0.000213,1,2,3,7,0.278198,0.305533,0.058207,0,163
204,electablog.com,0,BlogPulse,0.015351,0.043878,0.000702,18,27,45,6,0.340085,0.373615,5965.227975,0,163
205,elemming2.blogspot.com,0,"Blogarama,LeftyDirectory",0.012485,0.043577,0.000374,9,24,33,6,0.336972,0.370812,1462.073778,0,163
206,elfoflight.blogspot.com,0,BlogCatalog,0,0,0.000187,0,0,0,0,0,0,0,40,244
207,elissa.typepad.com,0,BlogCatalog,0,0.016021,0.000187,0,8,8,7,0.278488,0.3043,0,0,245
208,eltcamerica.blogspot.com,0,Blogarama,0,0,0.000187,0,1,1,8,0.220968,0.229856,0,0,246
209,emergingdemocraticmajority.com,0,LabeledManually,0.008815,0.038224,0.000641,8,25,33,6,0.309109,0.345576,158.872189,0,163
210,emergingdemocraticmajorityweblog.com/donkeyrising,0,LabeledManually,0.068284,0.037246,0.003798,70,26,96,6,0.310311,0.347109,6551.006958,0,163
211,emptyisform.com,0,Blogarama,0,0.021254,0.000187,0,14,14,7,0.321477,0.352863,0,0,247
212,endthenightmare.blogspot.com,0,"Blogarama,eTalkingHead",0,0.000122,0.000187,0,1,1,1,1,1,0,0,248
213,enemykombatant.blogspot.com,0,BlogCatalog,0.000237,0,0.000359,2,0,2,0,0,0,0,0,29
214,enlightenedbelle.blogspot.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,41,249
215,ergio.blogspot.com,0,eTalkingHead,0.000166,0,0.00024,1,0,1,0,0,0,0,0,35
216,estropundit.blogspot.com,0,eTalkingHead,0,0.001502,0.000187,0,1,1,8,0.175009,0.182403,0,0,250
217,etherealgirl.blogspot.com,0,Blogarama,0,0.026685,0.000187,0,25,25,6,0.308384,0.343889,0,0,253
218,fafblog.blogspot.com,0,LeftyDirectory,0.060146,0.055134,0.001211,46,34,80,7,0.312643,0.35466,1483.542302,0,163
219,fairshot.org,0,Blogarama,0,0.081537,0.000187,0,56,56,6,0.346976,0.392502,0,0,254
220,farleft.blogspot.com,0,eTalkingHead,0.006041,0.011268,0.000342,6,8,14,7,0.283472,0.309678,255.480573,0,163
221,fidlet.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,42,255
222,fiercepoet.com,0,BlogCatalog,0.000475,0.001116,0.000194,1,2,3,7,0.238439,0.254005,1.038462,0,252
223,flagrancy.net,0,"Blogarama,LeftyDirectory",0.002031,0.051856,0.000197,1,36,37,7,0.360316,0.400149,31.855306,0,163
224,folkbum.blogspot.com,0,"Blogarama,LeftyDirectory",0.014247,0.059714,0.000473,15,57,72,6,0.335436,0.388314,3102.35986,0,163
225,forewarned.blogspot.com,0,eTalkingHead,0,0.000496,0.000187,0,1,1,1,1,1,0,0,256
